Concurso;Data do Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Ganhadores 6 acertos;Rateio 6 acertos;Ganhadores 5 acertos;Rateio 5 acertos;Ganhadores 4 acertos;Rateio 4 acertos;Acumulado 6 acertos;Arrecadação Total;Estimativa prêmio;Acumulado Sorteio Especial Mega da Virada
2188;14092019;2;17;21;28;51;60;0;0;154;4,747,472.00;13387;78019;10,557,057,343.00;1,268,088,395.00;120,000,000.00;72,479,081.00
2189;18092019;4;11;16;22;29;33;1;12,008,514,397.00;406;1,940,724.00;24366;46196;0;1,366,646,505.00;38,000,000.00;7,455,259,109.00
2190;21092019;5;9;20;25;35;53;0;0;94;2,909,866.00;6835;57169;3,932,093,903.00;474,424,755.00;44,000,000.00;7,527,240,015.00
2191;24092019;4;8;26;33;46;53;1;432,584,378.00;104;2,055,288.00;5272;5792;0;370,736,415.00;2,300,000.00;7,583,489,999.00
2192;26092019;7;16;37;53;57;59;0;0;38;3,638,959.00;2635;74969;254,727,123.00;23,983,911.00;5,500,000.00;7,619,879,589.00
2193;28092019;7;8;22;27;29;42;1;569,850,542.00;55;3,110,309.00;4664;52397;0;29,670,543.00;3,000,000.00;7,664,897,222.00
2194;2102019;8;16;20;21;31;34;0;0;38;4,267,091.00;2925;79193;1,408,855,955.00;28,123,844.00;18,000,000.00;7,707,568,125.00
2195;5102019;14;24;32;38;46;53;0;0;107;2,444,078.00;6144;60806;1,890,596,669.00;45,358,446.00;25,000,000.00;7,776,388,229.00
2196;9102019;1;25;27;28;41;56;0;0;58;4,736,707.00;4166;94207;239,667,642.00;476,500,955.00;30,000,000.00;7,848,685,338.00
2197;14102019;3;11;29;35;44;57;0;0;150;2,088,696.00;7727;57923;2,973,816,142.00;54,340,769.00;34,000,000.00;7,931,133,872.00
2198;16102019;1;11;34;36;44;56;1;3,461,556,928.00;47;563,348.00;4402;85926;0;459,233,845.00;3,000,000.00;8,000,811,129.00
2199;19102019;15;23;30;35;38;44;0;0;29;5,806,307.00;3056;78713;1,795,417,862.00;29,205,001.00;21,500,000.00;8,045,122,418.00
2200;22102019;11;15;28;36;43;55;0;0;52;3,103,446.00;3371;68389;2,092,695,262.00;279,902,455.00;24,000,000.00;808,759,062.00
2201;24102019;3;13;23;41;49;53;0;0;60;3,458,633.00;5425;54645;2,474,965,229.00;35,992,747.00;30,000,000.00;8,142,200,617.00
2202;26102019;11;29;37;38;43;60;0;0;48;5,180,691.00;3717;95573;293,304,739.00;431,308,675.00;35,000,000.00;8,207,640,926.00
2203;30102019;17;34;46;49;50;57;0;0;57;4,941,401.00;4811;83635;3,451,894,488.00;48,852,209.00;40,000,000.00;8,281,761,941.00
2204;4112019;1;28;29;32;35;56;0;0;76;4,514,815.00;5847;83834;5,522,486,121.00;595,131,285.00;60,000,000.00;8,372,058,236.00
2205;6112019;12;21;28;37;42;57;1;6,142,994,773.00;112;3,007,567.00;6318;76165;0;58,424,184.00;3,000,000.00;8,460,702,331.00
2206;9112019;6;27;38;42;45;57;0;0;51;3,140,156.00;3495;6546;295,009,424.00;277,767,035.00;6,500,000.00;8,502,846,535.00
2207;13112019;6;10;11;43;53;55;0;0;39;4,990,576.00;2736;101,625.00;653,542,848.00;337,578,255.00;10,500,000.00;8,554,065,597.00
2208;16112019;16;25;30;40;45;49;0;0;17;11,341,557.00;1708;161,263.00;1,008,712,671.00;334,411,245.00;14,200,000.00;8,604,804,145.00
2209;20112019;22;25;28;32;33;47;0;0;49;4,244,566.00;3746;79316;2,656,745,866.00;36,073,530.00;31,000,000.00;8,659,536,711.00
2210;23112019;11;17;24;25;33;34;0;0;81;3,657,274.00;5910;71607;3,202,449,714.00;513,809,145.00;38,000,000.00;8,737,494,404.00
2211;27112019;27;36;40;41;44;54;0;0;52;5,922,553.00;3681;119,522.00;3,769,767,924.00;534,160,215.00;44,000,000.00;8,818,539,863.00
2212;30112019;23;26;51;52;53;58;0;0;61;5,656,609.00;5215;94522;4,405,392,091.00;59,847,390.00;50,000,000.00;8,909,343,317.00
2213;4122019;5;7;10;32;46;60;1;5,111,926,333.00;96;3,995,283.00;7360;74446;0;66,523,950.00;3,000,000.00;901,027,678.00
2214;7122019;4;10;18;30;34;47;0;0;44;4,130,051.00;3223;80547;2,088,423,004.00;31,518,630.00;25,000,000.00;9,058,098,423.00
2215;11122019;1;19;21;23;33;43;0;0;48;532,072.00;4092;89161;2,558,886,649.00;44,296,650.00;31,000,000.00;9,125,307,518.00
2216;14122019;10;24;42;43;48;49;0;0;49;6,200,046.00;4361;99519;3,118,522,361.00;526,926,735.00;36,000,000.00;9,205,255,477.00
2217;17122019;10;14;16;30;32;36;0;0;51;4,119,738.00;3258;92127;3,505,560,949.00;36,441,738.00;39,000,000.00;9,260,546,706.00
2218;19122019;6;16;22;38;48;52;1;4,005,966,522.00;42;6,467,828.00;3345;116,014.00;0;471,158,415.00;2,500,000.00;9,332,033,218.00
2219;21122019;8;28;36;45;57;59;0;0;26;6,208,622.00;2235;103,179.00;11,064,098,895.00;27,998,055.00;300,000,000.00;9,374,513,269.00
2220;31122019;3;35;38;40;57;58;4;7,605,345,966.00;1031;5,753,706.00;77055;109,978.00;0;10,288,821,015.00;2,000,000.00;0
2221;4012020;5;23;34;45;56;57;0;0;101;1,375,365.00;3669;54087;255,890,174.00;240,934,185.00;6,000,000.00;36,555,741.00
2222;8012020;13;14;29;30;48;59;0;0;29;5,866,041.00;1969;123,423.00;569,260,245.00;29,505,456.00;10,000,000.00;81,322,895.00
2223;11012020;2;26;40;42;49;56;0;0;45;4,760,035.00;2702;11,325.00;963,842,062.00;37,151,973.00;14,000,000.00;137,691,727.00
2224;15012020;16;23;32;50;52;58;0;0;28;7,832,849.00;2283;137,237.00;2,227,644,891.00;380,396,925.00;27,000,000.00;195,407,451.00
2225;18012020;1;32;37;44;46;47;0;0;34;8,131,728.00;3100;127,409.00;2,736,947,822.00;47,953,575.00;32,000,000.00;268,165,014.00
2226;21012020;2;4;7;16;30;38;0;0;43;4,616,197.00;3798;74662;3,102,599,258.00;34,428,024.00;35,000,000.00;320,400,935.00
2227;23012020;6;9;12;27;32;57;0;0;92;272,029.00;5732;62373;3,563,616,829.00;43,407,252.00;40,000,000.00;386,260,589.00
2228;25012020;9;19;23;32;39;45;0;0;85;3,459,933.00;5562;75536;4,105,369,502.00;510,088,905.00;47,000,000.00;46,365,383.00
2229;29012020;6;11;29;40;41;58;0;0;64;5,375,709.00;4315;113,903.00;6,317,789,714.00;596,726,055.00;70,000,000.00;554,192,091.00
2230;1022020;7;17;26;39;56;60;0;0;75;6,113,723.00;6440;101,714.00;7,162,448,816.00;79,529,139.00;80,000,000.00;674,857,678.00
2231;5022020;4;13;25;40;53;57;0;0;127;3,922,856.00;8326;85481;8,080,190,585.00;86,410,260.00;90,000,000.00;805,963,647.00
2232;8022020;7;8;31;34;38;47;0;0;111;5,426,587.00;8685;99079;9,189,784,901.00;104,474,196.00;105,000,000.00;964,477,122.00
2233;12022020;4;6;32;35;41;45;0;0;89;7,534,443.00;8107;118,163.00;10,425,036,891.00;116,305,533.00;120,000,000.00;1,140,941,693.00
2234;15022020;4;21;27;29;42;47;0;0;216;3,611,436.00;13800;80752;15,346,945,733.00;1,352,984,895.00;170,000,000.00;1,346,223,327.00
2235;19022020;14;18;30;35;55;57;0;0;133;6,916,157.00;11895;110,472.00;17,041,404,117.00;159,542,253.00;190,000,000.00;1,588,288,812.00
2236;22022020;7;20;38;43;45;53;0;0;190;5,621,379.00;14982;101,842.00;19,008,886,694.00;1,852,489,305.00;200,000,000.00;1,869,357,753.00
2237;27022020;11;20;27;28;53;60;2;10,582,635,887.00;263;4,450,985.00;15054;111,086.00;0;203,035,104.00;3,000,000.00;2,177,412,765.00
2238;29022020;11;36;45;55;57;58;0;0;14;12,344,351.00;1679;147,044.00;3,183,543.00;299,747,475.00;7,000,000.00;2,222,891,953.00
2239;4032020;7;27;31;39;45;46;0;0;29;7,612,174.00;3057;10,316.00;4,837,955,386.00;382,882,905.00;55,000,000.00;2,280,984,863.00
2240;7032020;7;9;10;19;25;58;2;2,789,402,038.00;143;2,812,413.00;10345;55537;0;697,548,375.00;2,000,000.00;2,386,820,392.00
2241;10032020;1;13;18;26;40;56;0;0;33;3,194,606.00;1575;9562;19,419,839.00;182,848,095.00;4,500,000.00;2,414,563,021.00
2242;12032020;5;9;18;24;25;42;0;0;89;1,749,528.00;4514;49277;481,028,896.00;27,006,615.00;8,500,000.00;2,455,538,808.00
2243;14032020;14;18;28;35;38;54;0;0;45;4,321,875.00;3079;90235;839,289,564.00;33,732,144.00;12,500,000.00;2,506,718,905.00
2244;18032020;3;5;11;34;37;42;1;121,473,348.00;77;2,646,915.00;4706;6187;1,229,223,079.00;35,350,038.00;16,000,000.00;2,560,353,752.00
2245;21032020;11;14;15;18;33;34;1;1,518,678,588.00;51;3,081,039.00;3048;73646;0;27,253,773.00;1,000,000.00;2,601,704,541.00
2246;25032020;5;9;24;27;33;46;0;0;51;1,319,743.00;2227;43175;123,986,434.00;11,673,981.00;2,500,000.00;261,941,689.00
2247;28032020;1;42;44;47;48;53;0;0;10;8,655,324.00;908;136,175.00;283,426,614.00;150,121,395.00;4,800,000.00;2,642,194,061.00
2248;1042020;9;15;20;29;30;42;1;49,069,329.00;29;3,879,869.00;1618;99343;0;19,515,258.00;1,800,000.00;2,671,803,587.00
2249;4042020;4;9;31;47;49;53;0;0;27;3,985,068.00;1782;86256;813,169,706.00;18,662,022.00;10,500,000.00;2,700,118,541.00
2250;8042020;27;33;39;52;57;58;0;0;27;5,301,819.00;2385;85743;1,076,865,446.00;24,828,354.00;13,000,000.00;2,737,789,363.00
2251;11042020;5;15;22;26;54;58;0;0;29;4,965,039.00;2222;92571;1,342,103,049.00;249,735,285.00;17,000,000.00;277,568,045.00
2252;15042020;1;17;30;37;46;50;0;0;20;8,329,259.00;1723;138,118.00;1,648,970,497.00;288,931,995.00;20,000,000.00;2,819,518,658.00
2253;18042020;31;32;33;39;52;55;0;0;26;7,334,398.00;2224;122,491.00;2,000,249,557.00;330,747,885.00;24,000,000.00;2,869,701,383.00
2254;22042020;4;9;24;44;47;56;0;0;55;3,174,926.00;3561;70052;3,270,276,779.00;302,869,485.00;36,000,000.00;2,915,654,257.00
2255;25042020;15;20;39;41;49;57;0;0;25;9,353,452.00;2144;155,807.00;3,701,027,858.00;40,557,501.00;42,000,000.00;2,977,190,128.00
2256;29042020;9;10;30;37;47;54;0;0;45;5,972,361.00;3334;115,158.00;4,196,105,091.00;46,614,150.00;47,000,000.00;3,047,915,448.00
2257;2052020;18;21;30;31;34;51;0;0;32;8,323,606.00;2791;136,333.00;4,686,759,763.00;461,977,425.00;50,000,000.00;3,118,008,974.00
